model,source_region,target_region,action,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,adapt_intercept_log1p,adapt_slope_log1p,source_training_seconds_sunk
spatial_knn_ridge,NCA,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.20979809999698773
spatial_knn_ridge,NCA,ESB,deploy,1.32830756291365,39,34528,0.0,0,,,0.20979809999698773
spatial_knn_ridge,NCA,ESB,adapt,1.369291705962939,39,34528,0.0012797000090358779,42659,0.1444864571094513,0.8073504567146301,0.20979809999698773
spatial_knn_ridge,NCA,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.20979809999698773
spatial_knn_ridge,NCA,RFE,deploy,1.7159659185925045,37,32342,0.0,0,,,0.20979809999698773
spatial_knn_ridge,NCA,RFE,adapt,1.7795512321833018,37,32342,0.0013953000016044825,40382,0.12797757983207703,0.9528661370277405,0.20979809999698773
spatial_knn_ridge,NCA,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.20979809999698773
spatial_knn_ridge,EAS,CAU,deploy,1.092100751572761,69,71830,0.0,0,,,0.202571200003149
spatial_knn_ridge,EAS,CAU,adapt,0.8019645335017771,69,71830,0.0014860000082990155,60000,-0.1561771035194397,0.7417634725570679,0.202571200003149
spatial_knn_ridge,EAS,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.202571200003149
spatial_knn_ridge,EAS,NAU,deploy,3.293411281602136,58,59757,0.0,0,,,0.202571200003149
spatial_knn_ridge,EAS,NAU,adapt,3.1054119652715224,58,59757,0.0016291000065393746,60000,-0.35249510407447815,1.3673160076141357,0.202571200003149
spatial_knn_ridge,EAS,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.202571200003149
spatial_knn_ridge,EAS,NEN,deploy,1.5463105989437478,51,52262,0.0,0,,,0.202571200003149
spatial_knn_ridge,EAS,NEN,adapt,1.4372021240346573,51,52262,0.0017497000080766156,53448,-0.0068687498569488525,0.7761247754096985,0.202571200003149
spatial_knn_ridge,EAS,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.202571200003149
spatial_knn_ridge,EAS,ESB,deploy,1.4623671861795278,39,34528,0.0,0,,,0.202571200003149
spatial_knn_ridge,EAS,ESB,adapt,1.3618372541207533,39,34528,0.0013959999923827127,42659,-0.0810721218585968,0.8827148675918579,0.202571200003149
spatial_knn_ridge,EAS,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.202571200003149
spatial_knn_ridge,EAS,RFE,deploy,1.8526786275812097,37,32342,0.0,0,,,0.202571200003149
spatial_knn_ridge,EAS,RFE,adapt,1.7658780603795439,37,32342,0.0013118000060785562,40382,-0.13592693209648132,1.0342949628829956,0.202571200003149
spatial_knn_ridge,EAS,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.202571200003149
