target_region,budget_retrains,budget_fraction,policy,mean_mae
CNA,29,0.9666666666666667,wasserstein,2.241835508635055
CNA,29,0.9666666666666667,distance,2.2405413169566897
CNA,29,0.9666666666666667,mean_shift,2.242064175894271
CNA,29,0.9666666666666667,kl_source_target,2.2405413169566897
CNA,29,0.9666666666666667,oracle,2.236424853295496
CNA,29,0.9666666666666667,random_expected,2.2383920819320275
CNA,30,1.0,action_value,2.236464327464909
CNA,30,1.0,mmd,2.236464327464909
CNA,30,1.0,wasserstein,2.236464327464909
CNA,30,1.0,distance,2.236464327464909
CNA,30,1.0,mean_shift,2.236464327464909
CNA,30,1.0,kl_source_target,2.236464327464909
CNA,30,1.0,oracle,2.236464327464909
CNA,30,1.0,random_expected,2.2364643274649096
EAS,0,0.0,action_value,6.476515575900223
EAS,0,0.0,mmd,6.476515575900223
EAS,0,0.0,wasserstein,6.476515575900223
EAS,0,0.0,distance,6.476515575900223
EAS,0,0.0,mean_shift,6.476515575900223
EAS,0,0.0,kl_source_target,6.476515575900223
EAS,0,0.0,oracle,6.476515575900223
EAS,0,0.0,random_expected,6.476515575900223
EAS,1,0.03333333333333333,action_value,6.469848279808507
EAS,1,0.03333333333333333,mmd,6.47602344086676
EAS,1,0.03333333333333333,wasserstein,6.47602344086676
EAS,1,0.03333333333333333,distance,6.475810191848061
EAS,1,0.03333333333333333,mean_shift,6.47602344086676
EAS,1,0.03333333333333333,kl_source_target,6.475983032024269
EAS,1,0.03333333333333333,oracle,6.469848279808507
EAS,1,0.03333333333333333,random_expected,6.47525318937109
EAS,2,0.06666666666666667,action_value,6.4694366421844025
EAS,2,0.06666666666666667,mmd,6.471991305856994
EAS,2,0.06666666666666667,wasserstein,6.471991305856994
EAS,2,0.06666666666666667,distance,6.476219874439818
EAS,2,0.06666666666666667,mean_shift,6.471991305856994
EAS,2,0.06666666666666667,kl_source_target,6.47544175827142
EAS,2,0.06666666666666667,oracle,6.46475133563533
EAS,2,0.06666666666666667,random_expected,6.473990802841958
EAS,3,0.1,action_value,6.4685285217111765
EAS,3,0.1,mmd,6.466894361683817
EAS,3,0.1,wasserstein,6.466894361683817
