source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean,run_tag,seed_index,source_in_region_mae,source_in_region_brier,abs_degradation
NWN,WNA,regional_doy_climatology,975,17,3.4480292852268244,0.7452145524114879,0.3201049234935572,0.1334513046529952,all_viable_min100_full_s1,1,3.7403268452956815,0.7252296810929124,0.3201049234935572
SAU,CNA,regional_doy_climatology,438,14,3.267832308402144,0.7006132438380623,-0.2273565978741234,-0.0189303241922963,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,0.2273565978741234
SAU,EAS,regional_doy_climatology,110,16,6.937522180926839,0.6125511065752669,-1.927335067604472,0.021632135346843,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,1.927335067604472
SAU,EAU,regional_doy_climatology,241,6,3.837097729500028,0.6911265542865835,-0.3613004892787325,0.0262202287132481,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,0.3613004892787325
SAU,ENA,regional_doy_climatology,522,21,3.955725611770672,0.6478746858011762,-0.751059775021796,-0.0763337885849653,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,0.751059775021796
SAU,MED,regional_doy_climatology,328,19,2.884296322448198,0.7166275931162338,0.0784902895792103,0.085040844400247,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,0.0784902895792103
SAU,NCA,regional_doy_climatology,144,7,2.439585550780775,0.7576453557965928,0.5826682660505413,0.2789717999361696,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,0.5826682660505413
SAU,NEU,regional_doy_climatology,1000,28,2.928962257651293,0.6114467913680212,-0.2196415674724655,-0.0349808963884704,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,0.2196415674724655
SAU,NWN,regional_doy_climatology,183,36,3.3220596497779904,0.6382841805586471,-0.4182671955176919,-0.0869455005342653,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,0.4182671955176919
SAU,WCE,regional_doy_climatology,1000,14,2.826804985645324,0.6234806648969029,-0.2400529346285357,-0.0330906285106702,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,0.2400529346285357
SAU,WNA,regional_doy_climatology,975,17,3.0361913579803588,0.6782353430152684,-0.0917330037529081,0.0664720952567757,all_viable_min100_full_s1,1,2.7773297408059663,0.6492031125158318,0.0917330037529081
WCE,CNA,regional_doy_climatology,438,14,3.600106794456353,0.7645039385033445,0.1049178881800857,0.0449603704729859,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,0.1049178881800857
WCE,EAS,regional_doy_climatology,110,16,7.186335904484798,0.6795324002238415,-1.6785213440465134,0.0886134289954176,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,1.6785213440465134
WCE,EAU,regional_doy_climatology,241,6,4.121350666744444,0.7306402537958975,-0.077047552034316,0.065733928222562,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,0.077047552034316
WCE,ENA,regional_doy_climatology,522,21,4.207649654300351,0.684982020005677,-0.4991357324921179,-0.0392264543804646,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,0.4991357324921179
WCE,MED,regional_doy_climatology,328,19,3.225091681329629,0.770140622194019,0.4192856484606416,0.1385538734780323,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,0.4192856484606416
WCE,NCA,regional_doy_climatology,144,7,2.823493516769494,0.8280963980066184,0.9665762320392606,0.3494228421461952,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,0.9665762320392606
WCE,NEU,regional_doy_climatology,1000,28,3.150951615686061,0.6365835933663264,0.0023477905623024,-0.0098440943901652,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,0.0023477905623024
WCE,NWN,regional_doy_climatology,183,36,3.591160327091888,0.6867624021050587,-0.1491665182037948,-0.0384672789878537,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,0.1491665182037948
WCE,SAU,regional_doy_climatology,351,13,3.078249982499541,0.7155199625766115,0.3009202416935743,0.0663168500607797,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,0.3009202416935743
WCE,WNA,regional_doy_climatology,975,17,3.3238291150223547,0.7071164600995535,0.1959047532890877,0.0953532123410607,all_viable_min100_full_s1,1,3.0668579202738595,0.6565712934075731,0.1959047532890877
WNA,CNA,regional_doy_climatology,438,14,3.651731446308233,0.708279099337433,0.1565425400319655,-0.0112644686929256,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,0.1565425400319655
WNA,EAS,regional_doy_climatology,110,16,7.489271860813296,0.6996273702330844,-1.3755853877180153,0.1087083990046606,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,1.3755853877180153
WNA,EAU,regional_doy_climatology,241,6,4.027856144786472,0.655936838105093,-0.170542073992289,-0.0089694874682424,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,0.170542073992289
WNA,ENA,regional_doy_climatology,522,21,4.244496625006424,0.6532218368061212,-0.4622887617860437,-0.0709866375800203,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,0.4622887617860437
WNA,MED,regional_doy_climatology,328,19,3.1230557628462767,0.671618713152836,0.3172497299772891,0.0400319644368493,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,0.3172497299772891
WNA,NCA,regional_doy_climatology,144,7,2.865379644380775,0.7647245233143135,1.008462359650541,0.2860509674538904,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,1.008462359650541
WNA,NEU,regional_doy_climatology,1000,28,3.143928631469126,0.596777402298479,-0.004675193654632,-0.0496502854580126,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,0.004675193654632
WNA,NWN,regional_doy_climatology,183,36,3.642022029788552,0.6521767264932804,-0.0983048155071311,-0.073052954599632,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,0.0983048155071311
WNA,SAU,regional_doy_climatology,351,13,3.209765040034087,0.6989991311161664,0.4324352992281204,0.0497960186003345,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,0.4324352992281204
WNA,WCE,regional_doy_climatology,1000,14,3.0955750999512857,0.6167798362973643,0.028717179677426,-0.0397914571102087,all_viable_min100_full_s1,1,3.127924361733267,0.6117632477584928,0.028717179677426
CNA,EAS,spatial_knn_ridge,110,16,6.230921270078539,0.2377359906477172,-0.023084586951033,-0.0080893256460968,all_viable_min100_full_s1,1,2.355174814899012,0.2024615462717764,0.023084586951033
CNA,EAU,spatial_knn_ridge,241,6,2.9773877637829087,0.2296632978717467,-0.0129018399147918,-0.0016927442906863,all_viable_min100_full_s1,1,2.355174814899012,0.2024615462717764,0.0129018399147918
CNA,ENA,spatial_knn_ridge,522,21,3.315358305297881,0.2957429451164862,-0.0858924568121521,-0.014755786052915,all_viable_min100_full_s1,1,2.355174814899012,0.2024615462717764,0.0858924568121521
CNA,MED,spatial_knn_ridge,328,19,1.8916576954258013,0.1868594684286576,0.0194666052540609,4.0883797752767245e-06,all_viable_min100_full_s1,1,2.355174814899012,0.2024615462717764,0.0194666052540609
CNA,NCA,spatial_knn_ridge,144,7,1.2564701885044276,0.1109045398328355,0.1140127642555584,0.0010557061482549,all_viable_min100_full_s1,1,2.355174814899012,0.2024615462717764,0.1140127642555584
CNA,NEU,spatial_knn_ridge,1000,28,2.3269985885774607,0.2984623746329656,-0.0585105175473743,-0.0055363384423205,all_viable_min100_full_s1,1,2.355174814899012,0.2024615462717764,0.0585105175473743
