threshold_profile,deploy_threshold,adapt_threshold,model,source_region,target_region,degradation_mean,degradation_ci95_halfwidth,risk_score,decision
strict,0.005,0.02,linear_window,ENA,NWN,0.0307270060760011,0.4323579290928249,0.463084935168826,retrain
strict,0.005,0.02,linear_window,ENA,SAU,0.0298801726951322,0.8555733547133754,0.8854535274085076,retrain
strict,0.005,0.02,linear_window,ENA,WCE,0.0304029842297649,0.4282867472647121,0.458689731494477,retrain
strict,0.005,0.02,linear_window,ENA,WNA,0.0464575059849468,0.2495869600759754,0.29604446606092216,retrain
strict,0.005,0.02,linear_window,MED,CNA,0.0300683482919092,0.5760421014329868,0.606110449724896,retrain
strict,0.005,0.02,linear_window,MED,EAS,0.0512548483813885,1.4672185395995,1.5184733879808887,retrain
strict,0.005,0.02,linear_window,MED,EAU,0.115814146814489,1.32603299057589,1.4418471373903792,retrain
strict,0.005,0.02,linear_window,MED,ENA,0.0244320892180637,1.1162665514296457,1.1406986406477093,retrain
strict,0.005,0.02,linear_window,MED,NCA,0.0388639637153651,0.3423201537979899,0.381184117513355,retrain
strict,0.005,0.02,linear_window,MED,NEU,0.0412072200353806,0.0489175007609199,0.09012472079630049,retrain
strict,0.005,0.02,linear_window,MED,NWN,0.0364934589266666,1.079544898250714,1.1160383571773806,retrain
strict,0.005,0.02,linear_window,MED,SAU,0.1171151192189089,0.6425663391643496,0.7596814583832585,retrain
strict,0.005,0.02,linear_window,MED,WCE,0.010411769227575,0.1357802135481171,0.1461919827756921,retrain
strict,0.005,0.02,linear_window,MED,WNA,-0.0156683422874422,0.3475479263845648,0.3318795840971226,retrain
strict,0.005,0.02,linear_window,NCA,CNA,0.0055412805578002,0.1679805061896581,0.1735217867474583,retrain
strict,0.005,0.02,linear_window,NCA,EAS,0.1428592740591344,1.110084789259003,1.2529440633181372,retrain
strict,0.005,0.02,linear_window,NCA,EAU,0.1123784890911976,0.7432554337262405,0.8556339228174381,retrain
strict,0.005,0.02,linear_window,NCA,ENA,0.0084686123770712,0.6309311701005564,0.6393997824776276,retrain
strict,0.005,0.02,linear_window,NCA,MED,0.0336055954279277,0.1781072413021777,0.2117128367301054,retrain
strict,0.005,0.02,linear_window,NCA,NEU,0.1381323928884842,0.2237781000399356,0.3619104929284198,retrain
strict,0.005,0.02,linear_window,NCA,NWN,0.0276872553061955,0.4263984536610647,0.4540857089672602,retrain
strict,0.005,0.02,linear_window,NCA,SAU,0.1061589921218949,0.5592645790941089,0.6654235712160038,retrain
strict,0.005,0.02,linear_window,NCA,WCE,0.0543777392072543,0.2612181446465943,0.3155958838538486,retrain
strict,0.005,0.02,linear_window,NCA,WNA,0.0502309829777027,0.3186791669623796,0.36891014994008225,retrain
strict,0.005,0.02,linear_window,NEU,CNA,0.0920372491414183,1.5191593173748978,1.6111965665163162,retrain
strict,0.005,0.02,linear_window,NEU,EAS,-0.2113794624525539,0.8896661865688866,0.6782867241163327,retrain
strict,0.005,0.02,linear_window,NEU,EAU,0.0060186041063625,1.08813891391911,1.0941575180254726,retrain
strict,0.005,0.02,linear_window,NEU,ENA,0.1050365635957605,0.953797518756174,1.0588340823519344,retrain
strict,0.005,0.02,linear_window,NEU,MED,0.049775096608361,0.6909834472080392,0.7407585438164002,retrain
strict,0.005,0.02,linear_window,NEU,NCA,-0.0190437945480479,0.8483416489653809,0.829297854417333,retrain
strict,0.005,0.02,linear_window,NEU,NWN,0.0830198153730205,0.7211041956585799,0.8041240110316004,retrain
strict,0.005,0.02,linear_window,NEU,SAU,0.0713761003261533,0.6677077695642527,0.739083869890406,retrain
strict,0.005,0.02,linear_window,NEU,WCE,-0.0016655268043542,0.2655404301355399,0.2638749033311857,retrain
strict,0.005,0.02,linear_window,NEU,WNA,-0.0349259720577142,0.3969651227511184,0.3620391506934042,retrain
strict,0.005,0.02,linear_window,NWN,CNA,0.0010876136414723,0.7429448238235585,0.7440324374650308,retrain
strict,0.005,0.02,linear_window,NWN,EAS,-0.2974854599695723,3.400923400654429,3.1034379406848567,retrain
strict,0.005,0.02,linear_window,NWN,EAU,0.035527260906478,1.364526360048245,1.400053620954723,retrain
strict,0.005,0.02,linear_window,NWN,ENA,0.0781223432595318,0.1702514417883375,0.2483737850478693,retrain
strict,0.005,0.02,linear_window,NWN,MED,0.0587755699752376,0.3809833740297381,0.43975894400497567,retrain
strict,0.005,0.02,linear_window,NWN,NCA,0.1080486559927561,0.8791146045794492,0.9871632605722054,retrain
strict,0.005,0.02,linear_window,NWN,NEU,0.0127403234637042,0.273017964022191,0.28575828748589516,retrain
strict,0.005,0.02,linear_window,NWN,SAU,0.1023965038938443,1.0381690855746588,1.1405655894685032,retrain
strict,0.005,0.02,linear_window,NWN,WCE,-0.0118844655384001,0.1911604320740333,0.17927596653563319,retrain
strict,0.005,0.02,linear_window,NWN,WNA,-0.0598441871776792,0.2942651783191755,0.23442099114149628,retrain
strict,0.005,0.02,linear_window,SAU,CNA,0.040317633626204,0.1497698120791438,0.1900874457053478,retrain
strict,0.005,0.02,linear_window,SAU,EAS,-0.0220570754754628,3.723908794842741,3.701851719367278,retrain
strict,0.005,0.02,linear_window,SAU,EAU,0.0089415027982816,0.786163528880522,0.7951050316788036,retrain
strict,0.005,0.02,linear_window,SAU,ENA,-0.0170999276340463,0.8240685195167576,0.8069685918827113,retrain
strict,0.005,0.02,linear_window,SAU,MED,0.0372031977478675,0.5345843035039498,0.5717875012518173,retrain
strict,0.005,0.02,linear_window,SAU,NCA,-0.010442486239296,0.3774631281267428,0.3670206418874468,retrain
strict,0.005,0.02,linear_window,SAU,NEU,0.0144208616036804,0.0747819710274397,0.08920283263112011,retrain
strict,0.005,0.02,linear_window,SAU,NWN,0.0053896547873412,0.2793001019054222,0.2846897566927634,retrain
strict,0.005,0.02,linear_window,SAU,WCE,-0.0120851368310182,0.2217530348500325,0.2096678980190143,retrain
strict,0.005,0.02,linear_window,SAU,WNA,-0.0382025345131052,0.47394624696629,0.43574371245318483,retrain
strict,0.005,0.02,linear_window,WCE,CNA,0.0154326145648736,0.3753473459213639,0.3907799604862375,retrain
strict,0.005,0.02,linear_window,WCE,EAS,0.1799071311595764,3.2127734397744723,3.392680570934049,retrain
strict,0.005,0.02,linear_window,WCE,EAU,0.0770960212649794,0.766686540738556,0.8437825620035354,retrain
strict,0.005,0.02,linear_window,WCE,ENA,0.0913318139679953,0.6091971148575135,0.7005289288255088,retrain
strict,0.005,0.02,linear_window,WCE,MED,0.028287240787487,0.2844194868620299,0.3127067276495169,retrain
strict,0.005,0.02,linear_window,WCE,NCA,0.154531970458837,0.5783119340095697,0.7328439044684067,retrain
strict,0.005,0.02,linear_window,WCE,NEU,0.0366099087474182,0.1594122465845232,0.1960221553319414,retrain
strict,0.005,0.02,linear_window,WCE,NWN,0.0789034586656201,0.1001938614372248,0.1790973201028449,retrain
