canonical_station_uid,source_region,target_region,cell5,mae_out_minus_in,risk_class,p_safe,p_moderate,p_high,predicted_risk_class,recommendation
eur_ecad_01::28079,WCE,NEU,55_5,-0.0809222547101944,safe,0.49003362350371027,0.12287843031332889,0.3870879461829606,safe,adapt
eur_ecad_01::28086,MED,NEU,65_10,-0.0120803813265224,safe,0.6567691156596523,0.3287527958983881,0.014478088441959178,safe,deploy
eur_ecad_01::28086,WCE,NEU,65_10,0.0690401998213454,moderate,0.046198312400653356,0.9490400651430961,0.00476162245625067,moderate,adapt
eur_ecad_01::28094,MED,NEU,60_10,-0.0954186338017626,safe,0.6932720305745805,0.14391149500371755,0.16281647442170247,safe,deploy
eur_ecad_01::28094,WCE,NEU,60_10,-0.0757122852268303,safe,0.5627681040735997,0.2684896146589533,0.16874228126744723,safe,deploy
eur_ecad_01::21808,MED,NEU,55_-10,-0.0196221612300648,safe,0.8916079111588741,0.1063635850202624,0.0020285038208640166,safe,deploy
eur_ecad_01::21808,WCE,NEU,55_-10,0.0426661195763435,moderate,0.2529005381935768,0.7456785190551369,0.0014209427512871077,moderate,adapt
eur_ecad_01::21811,MED,NEU,50_-10,-0.0373431305556373,safe,0.9113975270881356,0.08447167737135268,0.004130795540511803,safe,deploy
eur_ecad_01::21811,WCE,NEU,50_-10,0.0337765358126267,moderate,0.4252017676313891,0.5736470261993006,0.0011512061693106919,moderate,deploy
eur_ecad_01::27484,WCE,MED,35_-5,0.1543191288566459,high,0.0037222639196483934,0.3658265839169406,0.630451152163411,high,retrain
eur_ecad_01::27484,NEU,MED,35_-5,0.3177743127749339,high,0.0004130670116951565,0.0010470388855833366,0.9985398941027217,high,retrain
eur_ecad_01::27487,WCE,MED,35_-5,0.1138008514029662,moderate,0.006265597721745209,0.31347629038144603,0.6802581118968092,high,retrain
eur_ecad_01::27487,NEU,MED,35_-5,0.2693629830385466,high,0.005337185340845865,0.0030310871822390732,0.9916317274769151,high,retrain
eur_ecad_01::27253,WCE,MED,35_-10,0.2835556065629001,high,0.0008541277054747011,0.030856847095201152,0.9682890251993239,high,retrain
eur_ecad_01::27253,NEU,MED,35_-10,0.3703161694738952,high,0.00028725836936386,0.000991653635177244,0.9987210879954589,high,retrain
eur_ecad_01::27255,WCE,MED,35_-10,0.3032148066576829,high,0.00022674820012926166,0.017978034029593505,0.9817952177702768,high,retrain
eur_ecad_01::27255,NEU,MED,35_-10,0.3823793050889938,high,4.036707184584485e-05,0.00013660573044433678,0.99982302719771,high,retrain
eur_ecad_01::27256,WCE,MED,35_-10,0.2852565170169199,high,0.0011463074088530322,0.013757721698725437,0.9850959708924214,high,retrain
eur_ecad_01::27256,NEU,MED,35_-10,0.3718061320826469,high,0.0001962433693608082,0.00021428507409446202,0.9995894715565448,high,retrain
eur_ecad_01::27257,WCE,MED,35_-10,0.2766914430824583,high,0.0007567194449847087,0.020193248702034265,0.9790500318529813,high,retrain
