forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2,run_tag,seed_index
linear_window,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1803707387354867,-0.1069309899018855,all_viable_min100_full_s3,3
linear_window,physical_knowledge,group_by_cell,ridge,52920,12,1.134849639732299,-0.0063637020367282,all_viable_min100_full_s3,3
linear_window,physical_knowledge,group_by_cell,random_forest,52920,12,1.2034130187694627,-0.2395639475439521,all_viable_min100_full_s3,3
linear_window,generic_shift,group_by_cell,ridge,52920,11,1.1318366512494136,-0.0001698313676243,all_viable_min100_full_s3,3
linear_window,generic_shift,group_by_cell,random_forest,52920,11,1.1384645019053246,-0.018602682731883,all_viable_min100_full_s3,3
linear_window,physical_plus_shift,group_by_cell,ridge,52920,23,1.1344486258892847,-0.0047739030403466,all_viable_min100_full_s3,3
linear_window,physical_plus_shift,group_by_cell,random_forest,52920,23,1.2040547895615226,-0.2455228172438492,all_viable_min100_full_s3,3
patchtst_small,physical_knowledge,leave_target_region_out,ridge,52920,12,1.1384562250562342,-0.0025345813772359,all_viable_min100_full_s3,3
patchtst_small,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.1864916229306304,-0.1128700179437935,all_viable_min100_full_s3,3
patchtst_small,generic_shift,leave_target_region_out,ridge,52920,11,1.1360346355945987,0.0002981028763286,all_viable_min100_full_s3,3
patchtst_small,generic_shift,leave_target_region_out,random_forest,52920,11,1.139126086015307,-0.0026934468040444,all_viable_min100_full_s3,3
patchtst_small,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.137492905677492,-0.0010064803621521,all_viable_min100_full_s3,3
patchtst_small,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1852305304327453,-0.1078531899556136,all_viable_min100_full_s3,3
patchtst_small,physical_knowledge,group_by_cell,ridge,52920,12,1.1396186718953134,-0.0066870428900867,all_viable_min100_full_s3,3
patchtst_small,physical_knowledge,group_by_cell,random_forest,52920,12,1.2104873036963468,-0.2539493612446444,all_viable_min100_full_s3,3
patchtst_small,generic_shift,group_by_cell,ridge,52920,11,1.13631328874607,-0.00015798910504,all_viable_min100_full_s3,3
patchtst_small,generic_shift,group_by_cell,random_forest,52920,11,1.143054940894356,-0.0182706065613689,all_viable_min100_full_s3,3
patchtst_small,physical_plus_shift,group_by_cell,ridge,52920,23,1.139138539078269,-0.0050618312615393,all_viable_min100_full_s3,3
patchtst_small,physical_plus_shift,group_by_cell,random_forest,52920,23,1.2100479217244515,-0.2537577550095213,all_viable_min100_full_s3,3
regional_doy_climatology,physical_knowledge,leave_target_region_out,ridge,52920,12,0.7067195816962016,-0.0360980712451202,all_viable_min100_full_s3,3
regional_doy_climatology,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.7233931432387432,-0.0592895496450598,all_viable_min100_full_s3,3
regional_doy_climatology,generic_shift,leave_target_region_out,ridge,52920,11,0.6322285826687244,0.0565137852597753,all_viable_min100_full_s3,3
regional_doy_climatology,generic_shift,leave_target_region_out,random_forest,52920,11,0.8013076263804505,-0.4961457626050138,all_viable_min100_full_s3,3
