forecast_model,observed_reference,policy,mean_cost,unsafe_deploy_rate,unnecessary_retrain_rate,deploy_rate,adapt_rate,retrain_rate,n_pairs
regional_doy_climatology,observed_conservative_decision,source_accuracy_rank,1.2727272727272727,0.03636363636363636,0.11818181818181818,0.2727272727272727,0.18181818181818182,0.5454545454545454,110
regional_doy_climatology,observed_conservative_decision,shift_rank,2.8727272727272726,0.14545454545454545,0.23636363636363636,0.23636363636363636,0.2545454545454545,0.509090909090909,110
spatial_knn_ridge,observed_conservative_decision,phyk_tas_conservative,0.5818181818181818,0.045454545454545456,0.03636363636363636,0.33636363636363636,0.1,0.5636363636363636,110
spatial_knn_ridge,observed_conservative_decision,phyk_tas_expected,0.8454545454545455,0.09090909090909091,0.0,0.41818181818181815,0.10909090909090909,0.4727272727272727,110
spatial_knn_ridge,observed_conservative_decision,predicted_mean,0.8454545454545455,0.09090909090909091,0.0,0.41818181818181815,0.10909090909090909,0.4727272727272727,110
spatial_knn_ridge,observed_conservative_decision,always_deploy,6.136363636363637,0.6636363636363637,0.0,1.0,0.0,0.0,110
spatial_knn_ridge,observed_conservative_decision,always_adapt,2.590909090909091,0.0,0.0,0.0,1.0,0.0,110
spatial_knn_ridge,observed_conservative_decision,always_retrain,1.1090909090909091,0.0,0.33636363636363636,0.0,0.0,1.0,110
spatial_knn_ridge,observed_conservative_decision,source_accuracy_rank,1.6727272727272726,0.08181818181818182,0.10909090909090909,0.2727272727272727,0.18181818181818182,0.5454545454545454,110
spatial_knn_ridge,observed_conservative_decision,shift_rank,2.5454545454545454,0.15454545454545454,0.17272727272727273,0.23636363636363636,0.2545454545454545,0.509090909090909,110
stgcn_diffusion,observed_conservative_decision,phyk_tas_conservative,0.35454545454545455,0.00909090909090909,0.0,0.01818181818181818,0.09090909090909091,0.8909090909090909,110
stgcn_diffusion,observed_conservative_decision,phyk_tas_expected,0.8636363636363636,0.01818181818181818,0.0,0.02727272727272727,0.21818181818181817,0.7545454545454545,110
