canonical_station_uid,ar6_region,cell5,latitude,longitude,n_obs_train,wet_day_fraction_gt1mm,wet_day_mean_intensity,daily_precip_cv,monthly_climatology_amplitude,top3_month_precip_fraction,occurrence_lag1_autocorr,wet_intensity_lag1_autocorr,dry_spell_mean_days,dry_spell_p95_days,wet_day_p95,wet_day_p99,extreme_tail_ratio_p99_p95,source_id,source_station_id,coverage_threshold
eur_ecad_01::20501,WCE,50_5,50.8775,5.902500000000001,2922,0.3788501026694045,6.116260162601626,1.9744795373805408,604.7,0.3462988886666858,0.27680371029047685,0.0497000812308966,3.651911468812877,10.199999999999989,17.770000000000003,28.970000000000027,1.6302757456387182,eur_ecad_01,20501,95
eur_ecad_01::20504,WCE,50_5,51.8875,5.245,2922,0.3586584531143053,6.320324427480916,1.992813609551071,576.0999999999999,0.34077528417371017,0.3017866771861259,0.06319198159318115,3.9957356076759063,12.599999999999966,18.165,30.317999999999984,1.6690338563170926,eur_ecad_01,20504,95
eur_ecad_01::20505,NEU,50_5,52.40166666666666,5.9752777777777775,2922,0.36892539356605064,6.0243970315398885,1.9459666056971008,729.5999999999999,0.36347259029866297,0.2984262744790004,0.07894549126044975,3.8658280922431865,11.199999999999989,17.129999999999995,29.261000000000013,1.7081727962638658,eur_ecad_01,20505,95
eur_ecad_01::15119,WCE,45_5,47.65,7.833055555555555,2922,0.3798767967145791,8.664324324324326,1.9974133758688635,675.8,0.3354690559422638,0.3263791191338533,-0.0012657818285547108,3.9051724137931036,13.0,25.154999999999994,39.1,1.5543629497117875,eur_ecad_01,15119,95
eur_ecad_01::22285,WCE,45_5,49.75416666666667,6.693055555555556,2922,0.3131416837782341,5.936065573770492,2.0847059680198856,385.90000000000003,0.33036218582321375,0.2802587006745539,0.047231157398585154,4.4402654867256635,14.0,15.849999999999977,24.372,1.537665615141958,eur_ecad_01,22285,95
eur_ecad_01::22286,WCE,45_5,49.80027777777777,6.783055555555555,2892,0.2814661134163209,5.802579852579852,2.2341033279672566,367.7,0.33507492912110165,0.24990031604501475,0.08778495002648924,4.733485193621868,15.0,15.869999999999981,27.036000000000012,1.7035916824196624,eur_ecad_01,22286,95
eur_ecad_01::22288,WCE,50_5,50.06916666666667,6.623333333333334,2922,0.39117043121149897,6.50236220472441,1.9007899437700744,598.0,0.3226469702327165,0.33226046896548733,0.09249815839503754,3.825806451612903,12.0,17.989999999999988,29.057999999999993,1.6152306837131747,eur_ecad_01,22288,95
eur_ecad_01::22289,WCE,50_5,50.00666666666667,6.458333333333334,2802,0.3233404710920771,5.780242825607064,2.0301022236354718,473.09999999999997,0.3429598913801329,0.2870531839917987,0.06804155824486725,4.328767123287672,12.149999999999977,16.175,24.380000000000017,1.5072642967542513,eur_ecad_01,22289,95
eur_ecad_01::22290,WCE,45_5,49.78055555555555,7.611666666666666,2922,0.283709787816564,5.225090470446322,2.3150991439594817,311.30000000000007,0.34190388735843275,0.24769330386186014,0.02457874241007493,4.682326621923937,15.0,14.259999999999991,22.944000000000006,1.6089761570827503,eur_ecad_01,22290,95
eur_ecad_01::24265,WCE,45_15,47.07944444444445,15.447777777777778,2922,0.25051334702258726,9.76366120218579,2.755127852097408,1053.6999999999998,0.47431633915074894,0.22706927583770797,0.1555924818757852,5.152941176470589,16.0,33.044999999999995,50.8729999999999,1.5395067332425452,eur_ecad_01,24265,95
eur_ecad_01::24267,WCE,45_15,47.04583333333333,15.41,2922,0.24229979466119098,9.521045197740113,2.8225024728933596,953.6,0.46304395205230653,0.21512773773873434,0.1513434124394455,5.246445497630332,16.0,32.529999999999994,53.15299999999989,1.6339686443283092,eur_ecad_01,24267,95
eur_ecad_01::23418,MED,40_30,40.73277777777778,31.6,2913,0.23000343288705802,6.420746268656716,2.5041185407088857,463.59999999999997,0.34427717511622763,0.27168688518042505,0.004012450540677279,5.856396866840731,20.899999999999977,17.90999999999999,26.99299999999998,1.5071468453377999,eur_ecad_01,23418,95
eur_ecad_01::23420,MED,40_30,40.55,34.95,2916,0.19135802469135801,6.572939068100358,2.9657432398364856,444.7,0.3645513654096229,0.32243183806248304,-0.02184914091330049,7.5576923076923075,23.0,18.829999999999995,31.3599999999999,1.6654275092936754,eur_ecad_01,23420,95
eur_ecad_01::19796,NEU,70_20,70.05166666666666,22.324166666666667,2922,0.3275154004106776,5.839080459770115,2.025965024446737,375.0,0.3232236298540347,0.33795465718353557,0.1250003829237031,4.601873536299766,15.699999999999989,16.339999999999986,25.5,1.560587515299879,eur_ecad_01,19796,95
eur_ecad_01::14893,WCE,50_10,50.58305555555556,10.5,2922,0.32511978097193706,5.646210526315789,1.9969510389075154,355.29999999999995,0.32532509288368106,0.2611442029968909,0.030843614947699945,4.160337552742616,13.0,15.5,24.352999999999998,1.5711612903225805,eur_ecad_01,14893,95
